id,type,name,price,description,img_src
10001,tart,cannoli tart,10.99,Cream-filled tart,http://www.publix.com/images/products/90000/094051-600x600-A.jpg
10002,tart,oblong berry european tart,9.99,"Berry European Cream Tart made from buttery dough shell, filled with delectable cream and garnished with fresh blueberries and raspberries.",http://www.publix.com/images/products/20000/021469-600x600-A.jpg
10003,tart,oblong chocolate ganache tart,9.99,"Strawberry ganache tart made with buttery tart dough, filled with European cream and fresh strawberry filling, and garnished with chocolate ganache.",http://www.publix.com/images/products/90000/094912-600x600-A.jpg
10004,tart,round european cream pineapple tart,11.99,Pineapple Berry Tart filled with delectable European cream and garnished with fresh pineapple and berries.,http://www.publix.com/images/products/90000/093641-600x600-A.jpg
10005,tart,round european cream triple berry tart,11.99,"Triple-Berry Tart baked to perfection, fully topped with fruits and garnished with dark chocolate.",http://www.publix.com/images/products/90000/091092-600x600-A.jpg
10006,pie,apple pie,5.59,"The classic. Made with Crispin and Greening apples and cinnamon, with plenty of chunks of fruit in the filling. Baked fresh in bakery.",http://www.publix.com/images/products/90000/094240-600x600-A.jpg
10007,pie,dutch apple pie,5.59,"The classic twist. Made with Crispin and Greening apples and cinnamon, loaded with chunks of fruit in the filling and topped with toasted streusel. Baked fresh in bakery.",http://www.publix.com/images/products/90000/094241-600x600-A.jpg
10008,pie,small apple pie,3.39,"Made with sugar and the perfect blend of spices, baked fresh daily in our traditional flaky crust.",http://www.publix.com/images/products/90000/094245-600x600-A.jpg
10009,pie,small dutch apple pie,3.39,"The classic twist. Made with Crispin and Greening apples and cinnamon, loaded with chunks of fruit in the filling and topped with toasted streusel.",http://www.publix.com/images/products/90000/094246-600x600-A.jpg
10010,pie,small cherry pie,3.39,Flaky crust filled with delicious cherries.,http://www.publix.com/images/products/90000/094248-600x600-A.jpg
10011,pie,small peach pie,3.39,The perfect size. Our flaky crust is filled with luscious peaches and baked fresh every day.,http://www.publix.com/images/products/90000/094247-600x600-A.jpg
10012,pie,lemon meringue pie,8.29,"This classic creation features smooth lemon filling that's not too tart and not too sweet, topped with freshly made meringue.",http://www.publix.com/images/products/15000/019540-600x600-A.jpg
10013,pie,key lime pie,8.29,"With its real graham-cracker crust and authentic Key lime filling, it’s the perfect ending to a perfect meal.",http://www.publix.com/images/products/95000/095448-600x600-A.jpg
10014,pie,sweet potato pie,8.69,"Made using fresh sweet potatoes and just the right amount of spices, this pie is baked fresh daily so you can enjoy it all fall.",http://www.publix.com/images/products/95000/095490-600x600-A.jpg
10015,pie,coconut custard pie,9.99,"Cuckoo for coconut? You'll love this creamy and wonderfully sweet custard pie, filled with lots of coconut and baked fresh store.",http://www.publix.com/images/products/95000/095468-600x600-A.jpg
10016,cake,chocolate ganache supreme cake,24.99,"Four layers of chocolate or vanilla cake, chocolate or vanilla whipped topping, and chocolate ganache icing wrapped with ribbons of fudge.",http://www.publix.com/images/products/90000/094085-600x600-A.jpg
10017,cake,southern style red velvet cake,24.99,Four layers of moist red velvet cake filled and covered with smooth cream cheese icing.,http://www.publix.com/images/products/70000/071646-600x600-A.jpg
10018,cake,chantilly cake,25.99,"Carefully handcrafted with vanilla cake, almond flavoring, and Chantilly-mascarpone cream frosting to be delicious.",http://www.publix.com/images/products/85000/085054-600x600-A.jpg
10019,cake,strawberry limonata cake,25.99,"The Strawberry Limonata cake has three layers of vanilla cake filled with lemon filling, fresh chopped strawberries, and lemon zest.",http://www.publix.com/images/products/90000/094991-600x600-A.jpg
10020,cake,dulce de leche torte,19.99,A three-layer vanilla cake layered with dulce de leche whipped topping and filling lies beneath dulce de leche whipped topping garnished with toasted almonds.,http://www.publix.com/images/products/10000/013220-600x600-A.jpg
10021,cake,carrot torte cake,24.99,Four moist layers of delectable carrot cake separated by luscious cream cheese icing.,http://www.publix.com/images/products/15000/019493-600x600-A.jpg
10022,cake,raspberry elegance cake,24.99,four layers of moist vanilla cake and a luscious raspberry filling.,http://www.publix.com/images/products/15000/016479-600x600-A.jpg
10023,cake,chocolate avalanche cake,23.99,Rich chocolate fudge icing tops three layers of moist chocolate cake and strawberry glaze.,http://www.publix.com/images/products/15000/019494-600x600-A.jpg
10024,cake,chocolate lovers delight cake,23.99,"Four layers of moist chocolate cake are filled and frosted with our rich chocolate fudge icing, and then topped with ganache and glazed strawberries",http://www.publix.com/images/products/15000/019496-600x600-A.jpg
10025,cake,strawberry peach sensation,24.99,"Beneath this dessert's beautiful presentation awaits three moist layers of vanilla cake, sweet Bavarian cream, and vanilla whipped topping.",http://www.publix.com/images/products/90000/094137-600x600-A.jpg
10026,cake,caramel pecan crunch cake,25.99,"Your choice of chocolate or vanilla cake, each of the four layers is filled with caramel icing with crushed toasted pecans sprinkled between.",http://www.publix.com/images/products/90000/094301-600x600-A.jpg
10027,cake,cassata torte,23.99,"Beneath a cloud of vanilla whipped topping lie three layers of rum-flavored vanilla cake, luscious chocolate rum filling, and cannoli cream.",http://www.publix.com/images/products/15000/019495-600x600-A.jpg
10028,cake,chocolate ganache grandeur cake,23.99,"Underneath rich chocolate ganache, white and dark chocolate pieces, and fudge rosettes lies a four-layer cake made just the way you like.",http://www.publix.com/images/products/90000/094130-600x600-A.jpg
10029,cake,ebony and ivory cake,23.99,Four alternating vanilla and chocolate cake layers filled with alternating layers of vanilla custard and chocolate pudding.,http://www.publix.com/images/products/15000/019498-600x600-A.jpg
10030,cake,fruit-filled brown derby cake,23.99,"Fresh strawberries and bananas, and succulent peach slices fill this delicious two-layer chocolate cake.",http://www.publix.com/images/products/15000/016473-600x600-A.jpg
10031,cake,midnight fudge fantasy cake,24.99,"Drenched in rich chocolate fudge, each of the four layers of this moist and delicious chocolate or vanilla cake is filled with more chocolate fudge",http://www.publix.com/images/products/90000/094254-600x600-A.jpg
10032,cake,strawberry elegance cake,23.99,"Layers of vanilla or chocolate cake filled with vanilla custard or chocolate pudding, iced with fresh chocolate or vanilla whipped topping, and topped with chocolate ganache and glazed strawberries.",http://www.publix.com/images/products/15000/019502-600x600-A.jpg
10033,cake,strawberry sensation cake,23.99,"Your choice of vanilla or chocolate cake filled with vanilla custard, strawberry glaze, and fresh strawberries.",http://www.publix.com/images/products/15000/019504-600x600-A.jpg
10034,cookie,chocolate chip message cookie,8.99,Every party is better with a Publix decorated cookie! Let our skilled decorators create perfection for your celebration. You choose a personalized message and we make it gorgeous and delicious!,http://www.publix.com/images/products/10000/011878-600x600-A.jpg
10035,cookie,decorated cookie cake,8.99,Prepared with our exclusive cookie recipe (baked fresh in our Bakery).,http://www.publix.com/images/products/95000/095507-600x600-A.jpg
10036,cookie,chocolate-chip cookies,7.99,"Baked fresh daily, Publix Bakery traditional chocolate chip cookies are made with lots and lots of chocolate chips.",http://www.publix.com/images/products/90000/092634-600x600-A.jpg
10037,cookie,sugar cookies,7.99,"Baked fresh daily, our traditional sugar cookies are made with eggs, milk, margarine, and sugar for much-loved flavor.",http://www.publix.com/images/products/90000/092636-600x600-A.jpg
10038,cookie,oatmeal raisin cookies,7.99,"Baked fresh daily, Publix Bakery oatmeal cookies are made with butter, margarine, fresh eggs, milk, and flour, to which we add old-fashioned oats, and sweeten with brown sugar and honey.",http://www.publix.com/images/products/90000/093614-600x600-A.jpg
10039,cookie,peanut butter cookies,7.99,"Baked fresh every day by skilled bakers. If you haven't had a few with a tall glass of milk, you're really missing out.",http://www.publix.com/images/products/15000/016863-600x600-A.jpg
10040,cookie,heath bar cookies,6.99,delicious toffee cookies,http://www.publix.com/images/products/90000/094887-600x600-A.jpg
10041,cookie,chocolate chip m&m cookies,6.99,"Baked fresh daily, this true baker's dozen contains an extra one for good measure!",http://www.publix.com/images/products/90000/094607-600x600-A.jpg
10042,cookie,assorted cookies,7.99,"2 dozen chocolate chip, sugar, oatmeal raisin, and peanut butter cooies.",http://www.publix.com/images/products/95000/095285-600x600-A.jpg
10043,bread,assorted donut holes platter,24.99,"A real crowd-pleaser. Includes powdered sugar, cinnamon sugar and chocolate enrobed donut holes.",http://www.publix.com/images/products/10000/011833-600x600-A.jpg
10044,bread,assorted fruit/nut danish platter,22.99,A platter of assorted classic Danish pastries is a surefire crowd-pleaser.,http://www.publix.com/images/products/95000/099450-600x600-A.jpg
10045,tart,fresh fruit tart platter,18.99,"Fresh Fruit Tarts filled with decadent European cream mixed from a family recipe passed down for generations, available for special order in mini kiwi berry, mini orange berry, and mini chocolate ganache.",http://www.publix.com/images/products/70000/070302-600x600-A.jpg
10046,cookie,gourmet cookie platter,16.99,"A delicious array with something for everyone. Calypso Crunch and three kinds of cookie bites: Chunky Chocolate Chipper, macadamia, and Triple Ripple.",http://www.publix.com/images/products/95000/099598-600x600-A.jpg
10047,cake,loaf cake platter,12.99,"Your choice of two flavored sliced loaf cakes. Choose from Butter Pound, Banana Walnut, or Cranberry Pecan.",http://www.publix.com/images/products/95000/096667-600x600-A.jpg
10048,bread,combo breakfast platter,18.99," A variety of donut holes: powdered sugar and cinnamon sugar. Blueberry, lemon poppy seed, and orange muffins.",http://www.publix.com/images/products/95000/099368-600x600-A.jpg
10049,bread,mini croissant and bagelettes platter,15.99,Mini Croissants and Bagelettes with Cream Cheese. Buttery little croissants and miniature bagels served with cream cheese: sure to be well received by any group.,http://www.publix.com/images/products/15000/016388-600x600-A.jpg
10050,cake,mini muffin platter,27.99,"An abundance of small muffins in three delicious flavors: orange, lemon poppy seed, and blueberry.",http://www.publix.com/images/products/15000/019572-600x600-A.jpg
10051,cake,daisy's red velvet cake,49.95,Daisy's Red Velvet Cake is a beautiful ruby red hue coated with not-to-sweet cream cheese icing.,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-four-layer-redvelvet-ribbon_920x.jpg?v=1521787860
10052,cake,daisy's carrot cake,49.95,"With a full POUND of carrots, our four tiers of Daisy's classic cake are incredibly moist.",https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-four-layer-carrot-ribbon_920x.jpg?v=1521787289
10053,cake,daisy's coconut cake,49.95,Four tiers of Daisy's classic dense and moist cake is perfectly complemented by layers of fresh coconut milk buttercream icing.,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-four-layer-coconut_100x.jpg?v=1521788361
10054,cake,daisy's lemon cake,49.95,Sandwiched in between four tiers of delightfully delicate cake is a layer of our bright handmade lemon curd.,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-four-layer-lemon-ribbon_1770d455-a8e9-4dc2-9e9a-ec5facfea6cc_920x.jpg?v=1521786108
10055,cake,daisy's chocolate cake,49.95,"Each of our four tiers of classic chocolate cake are moist, rich and luscious.",https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-four-layer-carrot-chocolate_920x.jpg?v=1521786570
10056,cake,mama's plain pound cake,49.95,Mama's classic pound cake makes an amazing base for a variety of flavors and it tastes amazing all on its own.,https://cdn.shopify.com/s/files/1/2471/1240/products/Daisy-Cakes-Mamas-Plain-Pound-Cake-DaisyCakes0238_1_920x.jpg?v=1528968258
10057,cake,carolina's kiss chocolate coconut cake,59.95,moist coconut cake layers,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-carolina-kiss-july-cake-of-the-month_920x.jpg?v=1519268361
10058,cake,daisy's gluten-free carrot cake,69.95,"With a full POUND of carrots, this two tier version of Daisy's classic cake is incredibly moist.",https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-two-layer-carrot-gluten-free_920x.jpg?v=1521825582
10059,cake,daisy's gluten-free chocolate cake,69.95,"Each layer of chocolate cake is moist, rich and luscious.",https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-two-layer-chocolate-gluten-free_920x.jpg?v=1521825499
10060,cake,banana walnut pound cake,49.95,made with fresh bananas and toasted walnuts.,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-banana-walnut-pound-cake-1024x1024_920x.jpg?v=1519267465
10061,cake,strawberry and white chocolate cake,59.95,Sandwiched between layers of moist strawberry cake is our strawberry curd.,https://cdn.shopify.com/s/files/1/2471/1240/products/Chocolate-Strawberry-Dazzle-DaisyCakesSpring2016_-71_920x.jpg?v=1519264086
10062,cake,mint chocolate cake,59.95,"We bake our devil's food cake layers and cover them, inside and out, with our white chocolate mint",https://cdn.shopify.com/s/files/1/2471/1240/products/White-Chocolate-Mint-DaisyCakesSpring2016_-58_1_920x.jpg?v=1519266596
10063,cake,oh! oh! orange cake,59.95,"has a hint of pure orange flavor. Fresh, light, delicious and perfect for springtime!",https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-orange-cake-april-cake-of-the-month_920x.jpg?v=1519268569
10064,cake,florida key lime pound cake,49.95,we use Authentic Florida Key West Lime Juice to make this pound cake.,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-florida-key-lime-pound-cake-may-cake-of-the-month_920x.jpg?v=1519268798
10065,cake,pina colada pineapple rum cake,59.95,delicious coconut cake with rum extract in the frosting and a cooked pineapple filling between the layers.,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-pina-colada-june-cake-of-the-month_920x.jpg?v=1519269254
10066,cake,south carolina peaches and cream cake,59.95,"yellow cake layers are spread with our ""bits-of-peaches"" filling.",https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-peaches-n-cream-august-cake-of-the-month_920x.jpg?v=1519272228
10067,cake,caramel apple cake,59.95,Our Apple Caramel Cake features fresh apples baked right in the cake,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-caramel-apple-september-cake-of-the-month_920x.jpg?v=1519272462
10068,cake,chocolate peanut butter cake,59.95,we've combined Peanut Butter & Chocolate - two classic sweet and salty flavors to make a true taste sensation!,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-peanut-butter-chocolate-october-cake-of-the-month_920x.jpg?v=1519271343
10069,cake,pumpkin pound cake,49.95,caramel and cream cheese filling,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-pumpkin-pie-pound-cake_b73b1c93-1c74-4401-9af9-fed760c09f63_920x.jpg?v=1519271751
10070,cake,spiced gingerbread and eggnog cake,59.95,"moist, delicious gingerbread cake with the perfect amount of spices",https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-gingerbread-december-cake-of-the-month_920x.jpg?v=1519267917
10071,cake,daisy's happy birthday minikins,49.95,"""The Original Daisy Cake"" in a handheld portion!",https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-happy-birthday-minikins-3796_920x.jpg?v=1518630235
10072,cake,chocolate and marshmallow fluff minikins,49.95,Bring home the taste of Daisy's classic cake in a handheld portion!,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-chocolate-a-fluff-marshmallow-minikins-3792_920x.jpg?v=1518630210
10073,cake,feeling groovy minikins,49.95,yellow cake with chocolate icing.,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-feeling-groovy-minikins-246_920x.jpg?v=1528938809
10074,cake,german chocolate and salted caramel minikins,49.95,This decadent pairing of Traditional German Chocolate Cake & Salted Caramel Cake in a hand-held portion!,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-german-chocolate-salted-caramel-minikins-3812_920x.jpg?v=1519136360
10075,cake,apple pie moonshine minikins,49.95,"Made with genuine South Carolina Apple Pie Moonshine, our moist and delicious apple cake",https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-apple-pie-moonshine_920x.jpg?v=1524805039
10076,cake,margarita minikins,49.95,The buttercream icing has a big splash of tequila and triple-sec liqueur along with a little salt.,https://cdn.shopify.com/s/files/1/2471/1240/products/daisy-cakes-margarita-minikins-004_920x.jpg?v=1528275370
10077,cake,apple berry crisp cakes,39.95,Imagine fresh apples mixed with blueberries and cranberries in a shortbread crust. Now top it off with streusel crumbs and caramel.,https://www.carouselcakes.com/media/catalog/product/cache/1/thumbnail/120x150/9df78eab33525d08d6e5fb8d27136e95/c/a/cakes-apple-berry-crisp_1.jpg
10078,pie,apple crumb pie,26.95,We've baked delicious cinnamon apples in a flaky homemade cookie pie crust all topped with streusel crumbs.,https://www.carouselcakes.com/media/catalog/product/cache/1/thumbnail/120x150/9df78eab33525d08d6e5fb8d27136e95/p/i/pie-apple-crumb.jpg
10079,pie,apple pie,26.95,Our apples are cooked to perfection and the seasoning is just right. It is also available in cherry and blueberry.,https://www.carouselcakes.com/media/catalog/product/cache/1/thumbnail/120x150/9df78eab33525d08d6e5fb8d27136e95/p/i/pie-apple_3.jpg
10080,cake,baileys espresso cream cake,39.95,"With original Baileys mousse filling and a delicate espresso cream,",https://www.carouselcakes.com/media/catalog/product/cache/1/thumbnail/120x150/9df78eab33525d08d6e5fb8d27136e95/c/a/cakes-baileys.jpg
10081,cake,black and white mousse supreme,39.95,"We start with rich chocolate mousse, we then add creamy white chocolate mousse and top it all off with chocolate ganache.",https://www.carouselcakes.com/media/catalog/product/cache/1/thumbnail/120x150/9df78eab33525d08d6e5fb8d27136e95/c/a/cakes-bw-mousse.jpg
10082,cake,black forest cake,39.95,"We take two layers of moist light chocolate cake and one layer of custard,",https://www.carouselcakes.com/media/catalog/product/cache/1/thumbnail/120x150/9df78eab33525d08d6e5fb8d27136e95/c/a/cakes-black-forest.jpg
