id,type,name,price,description,img_src
10170,cake,the freedom cake,75,Send a birthday cake to a soldier overseas with the heart-felt donation cake,https://www.bakemeawish.com/images/cake/gift/39_1.png
10171,cookie,sable fench cookie tin,34.99,Our delectable sable butter cookies take us on a trip to France without leaving the house!,https://www.bakemeawish.com/images/cake/full/332.jpg
10172,cookie,double fudge chocolate cookies,29.99,"A delicious set of one dozen large-size double fudge chocolate chip cookies, individually wrapped!",https://www.bakemeawish.com/images/cake/full/483.jpg
10173,cookie,one dozen assorted gourmet cookies,27.5,A delectable assortment of one dozen Gourmet Cookies wrapped in sets of 2,https://www.bakemeawish.com/images/cake/full/102.jpg
10174,cookie,happy birthday! mini cookie tin,29.99,"4 dozen delicious mini-cookies, perfect for a Happy Birthday surprise!",https://www.bakemeawish.com/images/cake/full/485.jpg
10175,cookie,thank you! mini cookie tin,29.99,Our delicious set of mini cookies is now available to send an extraordinary Thank you!,https://www.bakemeawish.com/images/cake/full/486.jpg
10176,cookie,two dozen assorted gourmet cookies,37.5,Two Dozen of our delectable Gourmet Cookies in six assorted flavors!,https://www.bakemeawish.com/images/cake/full/103.jpg
10177,pie,country apple pie,39.95,Dense and delicious with big chunks of apple in a flaky crust - taste like homemade!,https://www.bakemeawish.com/images/cake/full/327.jpg
10178,pie,key lime pie,44.99,Delicious Meringue combined with a key lime custard is so refreshing during the long days of summer.,https://www.bakemeawish.com/images/cake/full/473.jpg
10179,pie,chocolate mousse pie,42.95,An amazing chocolate adventure for your taste buds - rich & creamy at its best!,https://www.bakemeawish.com/images/cake/full/482.jpg
10180,pie,bountiful blueberry pie,39.95,"A true classic, this Blueberry pie is filled to the brim and encased with a tasty crust",https://www.bakemeawish.com/images/cake/full/371.jpg
10181,tart,mixed berry tart,42.95,"Rich butter crumb meets fresh blueberries, raspberries, strawberries, and blackberries in this fresh creation!",https://www.bakemeawish.com/images/cake/full/478.jpg
10182,pie,sour cherry pie,39.95,A deliciously sour cherry pie - perfect for picnics and fun!,https://www.bakemeawish.com/images/cake/full/373.jpg
10183,pie,strawberry rhubarb pie,39.95,Succulent Strawberry Rhubarb Pie delivered right to your loved ones door!,https://www.bakemeawish.com/images/cake/full/372.jpg
10184,pie,coconut custard pie,42.95,Creamy egg custard is combined with shredded coconut in a delicate flaky pie crust.,https://www.bakemeawish.com/images/cake/full/335.jpg
10185,pie,four cheese quiche,39.95,"Savory custard pie with a robust blend of Swiss, cheddar, mozzarella and parmesan cheeses",https://www.bakemeawish.com/images/cake/full/240.jpg
10186,pie,florentine quiche,39.95,"Delicately seasoned creamy egg custard swirled with Swiss cheese, spinach, onions, red peppers and tomatoes",https://www.bakemeawish.com/images/cake/full/244.jpg
10187,pie,bacon tomato quiche,39.95,"Savory, delicately seasoned creamy egg custard swirled with Cheddar cheese, bacon crumbles",https://www.bakemeawish.com/images/cake/full/251.jpg
10188,cake,mini assorted gourmet cupcakes,39.95,An outstanding one-dozen assortment of the most outstanding flavors in gourmet cupcakes.,https://www.bakemeawish.com/images/cake/full/268.jpg
10189,cake,mini birthday cupcakes,39.95,A delicious one dozen set of mini cupcakes adorned with happy birthday candies!,https://www.bakemeawish.com/images/cake/full/311.jpg
10190,cake,jumbo birthday cupcakes,39.95,An excellent gift for a milestone birthday -these JUMBO cupcakes arrive in a gift box with Happy Birthday right on the cupcake.,https://www.bakemeawish.com/images/cake/full/312.jpg
10191,cake,jumbo chocolate lovers cupcakes,39.95,"Delicious Signature Chocolate Lover's Cupcakes, a chocolate lover's fantasy!",https://www.bakemeawish.com/images/cake/full/370.jpg
10192,cake,mini chicolate lovers cupcakes,39.95,A delectable One-Dozen assortment of the finest chocolate themed mini cupcakes around!,https://www.bakemeawish.com/images/cake/full/324.jpg
10193,cake,mini rainbows and unicorns cupcakes,42.95,One Dozen mini magical rainbows and unicorn cupcakes!,https://www.bakemeawish.com/images/cake/full/365.jpg
10194,cake,mini tutti frutti cupcakes,39.95,A one dozen cornucopia of fruit flavored cupcakes for the Fruit Lovers out there!,https://www.bakemeawish.com/images/cake/full/364.jpg
10195,cake,jumbo gourmet assorted cupcakes,39.95,The BEST of the BEST in these large gourmet cupcakes - begging to be shared - please don't eat one by yourself!,https://www.bakemeawish.com/images/cake/full/269.jpg
10196,cake,jumbo sundae cupcakes,39.95,Enjoy the fantastic taste of your favorite ice cream sundae in cupcake form!,https://www.bakemeawish.com/images/cake/full/399.jpg
10197,cake,jumbo diva cupcakes,39.95,Get a taste of Girl Power with these delicious signature cupcakes!,https://www.bakemeawish.com/images/cake/full/367.jpg
10198,cookie,assorted jumbo brownie sampler,39.99,An 8 piece selection of scrumptious brownies that are sure to be a crowd pleaser.,https://www.bakemeawish.com/images/cake/full/104.jpg
10199,cookie,one dozen assorted jumbo brownies,49.99,A scrumptious selection of Brownies in six Gourmet Flavors!,https://www.bakemeawish.com/images/cake/full/105.jpg
10200,cookie,assorted jumbo brownies and one dozen cookies,59.99,Combine our Delicious Brownies and Cookies for a Bakery Combo beyond Compare!,https://www.bakemeawish.com/images/cake/full/116.jpg
10201,cake,cheesecake party wheel,44.99,This cheesecake sampler is the perfect way to enjoy four delightful varieties of a classic dessert.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10202,cake,pineapple macadamia nut cake,19.99,"Golden and delectable, this irresistible Pineapple Macadamia Nut Cake is made with the finest ingredients",https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/15_50165_75c_01ec.jpg
10203,cake,ultimate carrot cake,49.99,"This amazing cake consists of two layers of our original carrot cake, made with the perfect blend of spices",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10204,cake,cheesecake factory sampler cheesecake,89.99,Enjoy four of your favorite flavors of The Cheesecake Factory® cheesecake together in one sampler.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/FreeShippingCheckThumbWhack_c.gif
10205,cake,blueberry coffee cake,24.99,"Add some luxury to breakfast, teatime, and dessert with our Blueberry Coffee Cake.",https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/14_7103_61a_01ec.jpg
10206,cake,"cheesecake factory original cheesecake - 7""",49.99,"With a crust of crushed graham crackers and a delicious, creamy filling, this cheesecake is simple but extravagant.",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/FreeShippingCheckThumbWhack_c.gif
10207,cake,royal touch mint chocolate cake,69.99,"mint chocolate, a timelessly classic flavor combination, gets ""The Royal Touch""",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10208,cake,"cheesecake factory celebration cheesecake - 10""",89.99,"Stacked high with layers of original cheesecake; vanilla cake; and strawberry, chocolate, and vanilla mousse",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/FreeShippingCheckThumbWhack_c.gif
10209,cake,chocolate birthday cake,44.99,"Made with rich dark chocolate and butter, this decadent treat is crafted in our own bakery",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10210,cake,"cheesecake factory chocolate mousse cheesecake - 7""",49.99,"simple, classic, and delicious,blending a rich chocolate cheesecake with smooth and fluffy Belgian chocolate mousse in a chocolate crust.",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/FreeShippingCheckThumbWhack_c.gif
10211,cake,signature tea cakes assortment,29.99,"Enjoy the satisfying tastes of dense, moist tea cakes bursting with incredible flavor",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/18_29111_30VA_01ec.jpg
10212,cake,"cheesecake factory original cheesecake - 10""",69.99,"With a crust of crushed graham crackers and a delicious, creamy filling, this cheesecake is simple but extravagant.",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/FreeShippingCheckThumbWhack_c.gif
10213,cake,"cheesecake factory ultimate red velvet cheesecake - 7""",69.99,Alternating layers of cheesecake and moist red velvet cake make the Ultimate Red Velvet Cake Cheesecake,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/FreeShippingCheckThumbWhack_c.gif
10214,cake,strawberry blueberry cake,34.99,a house-made blueberry filling and a premium strawberry filling are nestled between three layers of fluffy vanilla cake.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10215,cake,signature new york style cheesecake,24.99,"this classic cheesecake has a silky texture and a rich, sweet flavor that pairs well with fresh fruit or a drizzle of warm chocolate.",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10216,cake,lemon bundt cake with raspberry cheesecake filling,34.99,Indulge in the absolute delight of a sweet and fruity lemon Bundt cake filled with a sweet surprise.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10217,pie,peach and berry pie,39.99,"An American classic, our deep-dish, country-style Peach and Berry Pie arrives ready to thaw and serve.",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/buy_one_get_one_c.gif
10218,cake,chocolate dipped cupcakes,49.99,"When an occasion needs a celebration, nothing quite satisfies like soft, perfectly moist chocolate-dipped cupcakes",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/overlay_shipsOvernight_thumb_pre_c.gif
10219,cake,traditional fruit cake,29.99,"dense, delicious fruitcake that's hard to resist.",https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/16_30435_30VA_01ec.jpg
10220,pie,gluten-free marion berry pie,34.99,"Our gluten-free desserts are just as delicious as anything else,",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10221,cake,cheesecake cupcakes,29.99,Each of the six cupcakes in this delightful dessert delivery is like a perfectly crafted cheesecake unto itself.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10222,cake,snack cupcakes,49.99,Sweet and salty flavors come together perfectly to make these uniquely delicious cupcakes,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/overlay_shipsOvernight_thumb_pre_c.gif
10223,cake,chocolate decadence cake,19.99,"Our Chocolate Decadence Cake is rich, with an almost fudge-like consistency,",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/1540_20670c.jpg
10224,cake,chocolate rose heart cakes,29.99,"Crafted in our bakery, these two decadent cakes are baked into heart shapes and topped with a rich buttercream frosting",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10225,cake,ultimate chocolate cake,49.99,A layer of rich brownie fudge cake and a layer of our famous New York-style cheesecake are separated by delicious fudge filling.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10226,cake,"cheesecake factory oreo dream extreme cheesecake - 7""",69.99,OREO® cookies baked into a rich cheesecake filling,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/FreeShippingCheckThumbWhack_c.gif
10227,cake,moose munch cheesecake,29.99,This New York-style cheesecake is crafted with chocolate chips and caramel swirled into the batter and is baked atop a chocolate crumb crust,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10228,cake,birthday cake pops,49.99,These Birthday Cake Pops are a sweet idea for making someone's special day even more memorable.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/overlay_shipsOvernight_thumb_pre_c.gif
10229,cake,"lemon raspberry cheesecake - 7""",59.99,"raspberry-vanilla cake and raspberry ladyfinger cookies, with a creamy lemon cheesecake filling.",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/FreeShippingCheckThumbWhack_c.gif
10230,cake,orange creamsicle cake,59.99,Three layers of orange-flavored cake are stacked together with layers of vanilla buttercream icing,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10231,cake,hummingbird cake,49.99,"Two moist cake layers are made with banana, pineapple, pecans, and cinnamon, and then frosted by hand and decorated with decadent cream cheese frosting",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10232,cake,honeybell cheesecake,39.99,this citrus cheesecake is filled with pieces of juicy mandarin oranges and baked in a graham cracker crust.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10233,cake,raspberry cheesecake,29.99,New York-style cheesecake and hand-swirled raspberry fruit filling,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10234,cake,cinnamon sour cream coffee cake,24.99,Redolent with the scent of cinnamon and crafted here in our own bakery,https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/15_7106_61a_01ec.jpg
10235,cake,flag cake,49.99,This all-American summer cake has three layers of fluffy vanilla cake separated by luscious strawberry and blueberry filling.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10236,cake,lemon poppyseed bundt cake,24.99,"Working in small batches, we mix whole eggs, yogurt, and a blend of spices, finishing off with a dash of bright lemon juice in the batter and a lemon glaze on top.",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/16_30199_30VA_01ec.jpg
10237,cake,tie-dye celebration cake,49.99,"ach cake is an individual, the ganache frosting is swirled by hand with vibrant colors, and no two are the same.",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10238,cake,macadamia and salted caramel cake,69.99,with the addition of golden brown sugar and toasted macadamia nuts to add wonderful caramel overtones and a beautifully creamy texture.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10239,cake,chocolate biscuit cake,54.99,"This unique cake is created from apricots, figs, pistachios and English biscuits",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10240,pie,gluten-free apple pie,34.99,"Bursting with fruity apples, brown sugar, and cinnamon",https://cdn1.wolfermans.com/wcsstore/Wolfermans/images/catalog/snipes/wolf_Ships2day_thumb_pre_c.gif
10241,cookie,deluxe signature cookie basket,59.99,Our Deluxe Signature Cookie Basket comes brimming with delicious gourmet cookies crafted in our own bakery.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/15_26634_30e_01ec.jpg
10242,cookie,fruit galette tin,24.99,This keepsake tin brims with delicious galettes crafted with real butter in our own bakery.,https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/16_31070_30e_01ec.jpg
10243,cookie,thank you cookie gift basket,49.99,filled with delicious creations handcrafted in our bakery,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/16_26627_30e_02ec.jpg
10244,cookie,birthday cookie gift basket,44.99,filled with delicious creations handcrafted in our bakery,https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/16_26627_30e_01ec.jpg
10245,cookie,pick your occasion cookie basket,44.99,filled with delicious creations handcrafted in our bakery,https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/16_26627_30e_03ec.jpg
10246,cookie,gluten-free cookies,19.99,With uncompromising taste and a chewy texture reminiscent of the best homemade baked goods,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/14_50162_61a_01ec.jpg
10247,cookie,get well chocolate-covered cookies,39.99,Send warm wishes with a sweet treat to raise someone's spirits.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10248,cookie,thank you chocolate-covered cookie,39.99,"These cookies say ""Thank You,"" written in white chocolate atop a dark and milk Belgian chocolate coating",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10249,cookie,congrats chocolate-covered cookies,39.99,Go the extra mile and congratulate someone special with more than a card. Cookies go a long way toward showing just how proud of them you are.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10250,cookie,chocolate-covered grahams,34.99,"As if the classic crunch of a graham cracker wasn't enough, we've gone and covered it with premium chocolate",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10251,cookie,chocolate-covered birthday grahams,34.99,these graham crackers are crafted by hand in our Southern Oregon candy kitchen.,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10252,cookie,belgian chocolate salted caramel cookies,39.99,"Sea salt, caramel, and chocolate are a match made in heaven, and we at Harry & David® know a little something about flavorful pairings.",https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/Ships2day_thumb_pre_c.gif
10253,cookie,love chocolate-covered cookies,39.99,Four dark chocolate-covered sandwich cookies are adorned with lettering to spell out L-O-V-E,https://cdn1.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/snipes/overlay_shipsOvernight_thumb_pre_c.gif
10254,cookie,pick 12 homemade cookies,19.99,Select one dozen cookies from this delectable array of gourmet delights.,https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/17_24075_30W_07ec.jpg
10255,cookie,pick 24 homemade cookies,34.99,"Choose from a variety of classic and innovative flavors, from homestyle white chocolate raspberry and double chocolate chunk to coconut macaroon and frosted vanilla.",https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/17_24076_30W_08ec.jpg
10256,cookie,pick 36 homemade cookies,49.99,"Choose from a variety of classic and innovative flavors, from homestyle white chocolate raspberry and double chocolate chunk to coconut macaroon and frosted vanilla.",https://cdn2.harryanddavid.com/wcsstore/HarryAndDavid/images/catalog/17_24077_30W_09ec.jpg
